C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-65;2;91
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-15;1;19987
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-15;2;19382
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-65;1;16036
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-10;ERVEXTAGE5-65;2;7460
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-15;1;9001
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-15;2;4206
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-65;1;12
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-30;ERVEXTAGE5-65;2;11
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-15;1;349
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-15;2;15768
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-65;1;12285
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-40;ERVEXTAGE5-65;2;468
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-50;ERVEXTAGE5-15;1;24
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-50;ERVEXTAGE5-15;2;16
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-15;1;6814
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-15;2;4018
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-65;1;32193
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-65;2;38253
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-15;1;134673
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-15;2;177726
